STT,Mã TL,Nội dung mô tả,File gom được,Thư mục đích,Trạng thái
81,C2,"Quyết định số 1046/QĐ-UBND ngày 29/7/1994 của UBND tỉnh Thừa Thiên Huế v/v sắp xếp tổ chức bộ máy các Ban, đơn vị hành chính - sự nghiệp thuộc Uỷ ban nhân dân thành phố Huế.
Nguồn: Trung tâm Lưu trữ Thành phố Huế.",C2...QĐ 1046-1994,5. Phần 3/1. Hoàn thiện tổ chức bộ máy chính quyền,Thành công
82,,"Cơ cấu tổ chức các cơ quan chuyên môn thuộc UBND tỉnh Thừa Thiên Huế được từng bước kiện toàn thông qua việc thành lập mới, đổi tên và quy định lại chức năng, nhiệm vụ của các sở, ban, ngành. Quá trình này phản ánh sự đổi mới của nền hành chính địa phương, đáp ứng yêu cầu quản lý nhà nước và phát triển kinh tế - xã hội trong thời kỳ đổi mới.",-,5. Phần 3/1. Hoàn thiện tổ chức bộ máy chính quyền,Thiếu file
83,D2,Một số quyết định thành lập mới một số cơ quan thuộc UBND tỉnh Thừa Thiên Huế,-,5. Phần 3/1. Hoàn thiện tổ chức bộ máy chính quyền,Thiếu file
84,C3,"Quyết định số 1911/QĐ-UB ngày 05/8/1997 của UBND tỉnh Thừa Thiên Huế v/v qui định chức năng, nhiệm vụ, quyền hạn và tổ chức bộ máy của Ban Tổ chức chính quyền tỉnh.
Nguồn: Trung tâm Lưu trữ Thành phố Huế.",C3...QĐ1911-1997,5. Phần 3/1. Hoàn thiện tổ chức bộ máy chính quyền,Thành công
85,D3,"Quyết định số 222/1998/QĐ/UBND ngày 14/02/1998 của UBND tỉnh Thừa Thiên Huế v/v thành lập và quy định chức năng nhiệm vụ, tổ chức bộ máy của sở Ngoại vụ tỉnh Thừa Thiên Huế.
Nguồn: Trung tâm Lưu trữ Thành phố Huế.",D3...QD222_14_2_1998 thành lập và quy định CNNV sở Ngoại vụ.pdf,5. Phần 3/1. Hoàn thiện tổ chức bộ máy chính quyền,Thành công
86,C5,"Quyết định số 1522/QĐ-UB ngày 05/6/2003 của UBND tỉnh Thừa Thiên Huế v/v quy định chức năng, nhiệm vụ và tổ chức bộ máy của Văn phòng HĐND và UBND tỉnh.
Nguồn: Trung tâm Lưu trữ Thành phố Huế.",C5...QĐ 1522-2003,5. Phần 3/1. Hoàn thiện tổ chức bộ máy chính quyền,Thành công
87,,"Sơ đồ tổ chức bộ máy của Văn phòng.
 
Vẽ sơ đồ tổ chức bộ máy của Văn phòng:
1/ Các Phòng chuyên môn, nghiệp vụ:
+ Phòng Nghiên cứu Tổng hợp
+ Phòng Kinh tế - Đối ngọai
+ Phòng Nội chính - Văn xã
+ Phòng Thi đua - Khen thưởng
+ Phòng Tiếp dân, giải quyết đơn thư khiếu nại tố cáo.
+ Phòng Tổ chức - Hành chính.
+ Phòng Quản trị - Tài vụ.
2/ Các đơn vị sự nghiệp:
+ Trung tâm Lưu trữ.
+ Trung tâm Tin học Hành chính.
+ Nhà Khách.",-,5. Phần 3/1. Hoàn thiện tổ chức bộ máy chính quyền,Thiếu file
88,D4,"Quyết định số 1861/2003/QĐ-UB ngày 08/7/2003 của UBND tỉnh Thừa Thiên Huế v/v thành lập Sở Tài nguyên và Môi trường.
Nguồn: Trung tâm Lưu trữ Thành phố Huế.",D4...QD1861_08_7_2003 thành lập Sở Tài nguyên môi trường.pdf,5. Phần 3/1. Hoàn thiện tổ chức bộ máy chính quyền,Thành công
89,C4,"Quyết định số 3565/QĐ-UB ngày 11/12/2003 của UBND tỉnh Thừa Thiên Huế v/v đổi tên Ban Tổ chức Chính quyền tỉnh thành Sở Nội vụ.
Nguồn: Trung tâm Lưu trữ Thành phố Huế.",C4...jpg,5. Phần 3/1. Hoàn thiện tổ chức bộ máy chính quyền,Thành công
90,D5,"Quyết định số 3288/2004/QĐ-UB ngày 22/9/2004 của UBND tỉnh Thừa Thiên Huế v/v thành lập Sở Bưu chính, Viễn thông.
Nguồn: Trung tâm Lưu trữ Thành phố Huế.",D5...QD3288_22_9_2004 Thành lập Sở Bưu chính viễn thông.pdf,5. Phần 3/1. Hoàn thiện tổ chức bộ máy chính quyền,Thành công
91,C26,"Trụ sở HĐND và UBND tỉnh Thừa Thiên Huế
Ảnh: UBND tỉnh Thừa Thiên Huế.",C26.webp,5. Phần 3/1. Hoàn thiện tổ chức bộ máy chính quyền,Thành công
92,B11,"Nghị quyết số 12/NĐ-HĐND ngày 26/02/2025 của Hội đồng nhân dân thành phố Huế v/v thành lập và tổ chức lại các cơ quan chuyên môn  thuộc UBND TP Huế.
Nguồn: Trung tâm Lưu trữ Thành phố Huế.",B11.pdf,5. Phần 3/1. Hoàn thiện tổ chức bộ máy chính quyền,Thành công
93,,"Tháng 02/2025, UBND thành phố Huế kiện toàn cơ cấu tổ chức với 14 cơ quan chuyên môn trực thuộc, gồm 12 sở, Văn phòng UBND thành phố và Thanh tra thành phố. Cơ cấu này được sắp xếp theo hướng tinh gọn, giảm đầu mối, tăng cường phối hợp liên ngành, góp phần nâng cao hiệu lực, hiệu quả quản lý nhà nước, đáp ứng yêu cầu xây dựng nền hành chính hiện đại, phục vụ người dân và doanh nghiệp, đồng thời tạo nền tảng cho sự phát triển của thành phố Huế trong giai đoạn mới.",-,5. Phần 3/1. Hoàn thiện tổ chức bộ máy chính quyền,Thiếu file
94,,"Sơ đồ cơ cấu tổ chức các cơ quan chuyên môn thuộc UBND TP Huế, tháng 02/2025
1) Sở Tài chính; 
2) Sở Xây dựng; 
3) Sở Khoa học và Công nghệ; 
4) Sở Nông nghiệp và Môi trường; 
5) Sở Nội vụ; 
6) Sở Tư pháp; 
7) Sở Công Thương; 
8) Sở Giáo dục và Đào tạo; 
9) Sở Văn hóa và Thể thao; 
10) Sở Y tế; 
11) Sở Du lịch; 
12) Sở Ngoại vụ; 
13) Văn phòng Ủy ban nhân dân thành phố; 
14) Thanh tra thành phố.",-,5. Phần 3/1. Hoàn thiện tổ chức bộ máy chính quyền,Thiếu file
95,Tiêu đề chủ đề,Hiện đại hóa nền hành chính phụng sự nhân dân,[THƯ MỤC TIÊU ĐỀ],5. Phần 3/2. Hiện đại hóa nền hành chính phụng sự nhân dân,Tiêu đề
96,,"Cùng với việc hoàn thiện tổ chức bộ máy, Huế đẩy mạnh cải cách hành chính, ứng dụng công nghệ số, xây dựng chính quyền hiện đại, công khai, minh bạch, lấy người dân và doanh nghiệp làm trung tâm phục vụ.",-,5. Phần 3/2. Hiện đại hóa nền hành chính phụng sự nhân dân,Thiếu file
97,C24,"Kế hoạch số 14/KH-UBND ngày 28/01/2010 của UBND tỉnh Thừa Thiên Huế về thực hiện công tác cải cách hành chính năm 2010.
Nguồn: Trung tâm Lưu trữ Thành phố Huế.",C24..KH số 14.2010. Công tác CCHC,5. Phần 3/2. Hiện đại hóa nền hành chính phụng sự nhân dân,Thành công
98,C30,"Báo cáo số 131/BC-UBND ngày 24/12/2010 của UBND tỉnh Thừa Thiên Huế về công tác cải cách hành chính năm 2010.
Nguồn: Trung tâm Lưu trữ Thành phố Huế.",C30...BC số 131.2010. Báo cáo công tác CCHC,5. Phần 3/2. Hiện đại hóa nền hành chính phụng sự nhân dân,Thành công
99,C22,"Báo cáo số 445/BC-UBND ngày 07/12/2020 của UBND tỉnh Thừa Thiên Huế về công tác cải cách hành chính năm 2020.
Nguồn: Trung tâm Lưu trữ Thành phố Huế.","C22,..QĐ số 678.2025. Báo cáo ct CCHC",5. Phần 3/2. Hiện đại hóa nền hành chính phụng sự nhân dân,Thành công
100,,"Lễ trao giải hội thi trực tuyến “Tìm hiểu công tác cải cách hành chính tỉnh Thừa Thiên Huế năm 2024”, đợt 1 từ 17-22/6/2024.",-,5. Phần 3/2. Hiện đại hóa nền hành chính phụng sự nhân dân,Thiếu file
101,C20,"Quyết định số 3322/QĐ-UBND ngày 25/12/2024 của UBND tỉnh Thừa Thiên Huế v/v phê duyệt Kế hoạch cải cách hành chính gắn với chính quyền số dịch vụ đô thị thông minh, năm 2025.
Nguồn: Trung tâm Lưu trữ Thành phố Huế.","C20...QĐ số 3322.2024. Kế hoạch CCHC gắn với chính quyền số, dịch vụ đô thị thông minh",5. Phần 3/2. Hiện đại hóa nền hành chính phụng sự nhân dân,Thành công
102,C9,"Quyết định số 3803 /QĐ-UBND ngày 15/12/2025 của UBND thành phố Huế v/v phê duyệt Kế hoạch cải cách hành chính gắn với chuyển đổi số trong cơ quan nhà nước của thành phố Huế năm 2026.
Nguồn: Trung tâm Lưu trữ Thành phố Huế.",C9.3803-QD-UBND Kế hoạch CCHC 2026 TP Huế.pdf,5. Phần 3/2. Hiện đại hóa nền hành chính phụng sự nhân dân,Thành công
103,,"Báo cáo số 678/BC-UBND ngày 19/12/2025 của UBND thành phố Huế về tình hình thực hiện công tác cải cách hành chính năm 2025.
Nguồn: Trung tâm Lưu trữ Thành phố Huế.",-,5. Phần 3/2. Hiện đại hóa nền hành chính phụng sự nhân dân,Thiếu file
104,C31,"Năm 2025, thành phố Huế đạt 91,33 điểm Chỉ số cải cách hành chính, cao nhất kể từ năm 2016. 
Nguồn: https://huengaynay.vn/chinh-tri-xa-hoi/theo-dong-thoi-su",C31.jpg,5. Phần 3/2. Hiện đại hóa nền hành chính phụng sự nhân dân,Thành công
105,C32,"Thành phố Huế xếp thứ 5 cả nước về Chỉ số hài lòng của người dân đối với sự phục vụ của cơ quan hành chính Nhà nước năm 2025 theo công bố của Bộ Nội vụ 
Nguồn: https://huengaynay.vn/chinh-tri-xa-hoi/theo-dong-thoi-su",C32.jpg,5. Phần 3/2. Hiện đại hóa nền hành chính phụng sự nhân dân,Thành công
106,C21,Trung tâm phục vụ hành chính công thành phố Huế.,C21..jpg,5. Phần 3/2. Hiện đại hóa nền hành chính phụng sự nhân dân,Thành công
107,C16,Trung tâm dữ liệu,C16,5. Phần 3/2. Hiện đại hóa nền hành chính phụng sự nhân dân,Thành công
108,C15,"Quyết định số 465 /QĐ-UBND ngày 28/01/2026 của UBND thành phố Huế v/v phê duyệt Đề án Phát triển đô thị thông minh thành phố Huế giai đoạn 2026-2030, định hướng đến năm 2045",C15...QĐ số 465.2026 Đề án phát triển đô thị thông minh thành phố Huế giai đoạn 2026-2030 hướng đến 2045.pdf,5. Phần 3/2. Hiện đại hóa nền hành chính phụng sự nhân dân,Thành công
109,C17,Trung tâm giám sát điều hành đô thị thông minh thuộc Sở Khoa học và Công nghệ thành phố Huế.,C17.jpg,5. Phần 3/2. Hiện đại hóa nền hành chính phụng sự nhân dân,Thành công
110,,"Trung tâm Giám sát, điều hành đô thị thông minh (IOC) đóng vai trò là “bộ não số” của đô thị, nơi tích hợp dữ liệu, công nghệ và con người để hỗ trợ công tác quản lý, điều hành một cách kịp thời, chính xác và hiệu quả. Trung tâm ứng dụng các nền tảng công nghệ hiện đại như dữ liệu lớn, trí tuệ nhân tạo, bản đồ số và hệ thống camera giám sát nhằm theo dõi toàn diện các hoạt động kinh tế – xã hội, an ninh trật tự, hạ tầng đô thị và chất lượng môi trường.
Nguồn: https://dttm.hue.gov.vn/slide/dich-vu-do-thi-thong-minh.html",-,5. Phần 3/2. Hiện đại hóa nền hành chính phụng sự nhân dân,Thiếu file
111,C14,"Báo cáo số 330/BC-UBND ngày 19/6/2026 của UBND thành phố Huế v/v tình hình thực hiện công tác cải cách hành chính 06 tháng đầu năm 2026.
Nguồn: Trung tâm Lưu trữ Thành phố Huế.",C14...bc330_signed (1).pdf,5. Phần 3/2. Hiện đại hóa nền hành chính phụng sự nhân dân,Thành công
112,C10,"Quyết định số 2367/QĐ-UBND ngày 08/7/2026 của UBND thành phố Huế v/v  công bố danh mục thủ tục hành chính mới ban hành và phê duyệt quy trình nội bộ, quy trình điện tử thực hiện theo cơ chế một cửa, một cửa liên thông lĩnh vực Việc làm thuộc phạm vi chức năng quản lý của Sở Nội vụ.
Nguồn: Trung tâm Lưu trữ Thành phố Huế.",C10...00.00.H57-2367-QD-UBND-2026-PL1_signed.pdf,5. Phần 3/2. Hiện đại hóa nền hành chính phụng sự nhân dân,Thành công
113,C11,"Quyết định số 2391/QĐ-UBND ngày 09/7/2026 của UBND thành phố Huế v/v công bố danh mục thủ tục hành chính mới ban hành trong lĩnh vực vật liệu xây dựng thuộc thẩm quyền giải quyết của Sở Xây dựng.
Nguồn: Trung tâm Lưu trữ Thành phố Huế.",C11..pdf,5. Phần 3/2. Hiện đại hóa nền hành chính phụng sự nhân dân,Thành công
114,,"Quá trình hình thành và hoàn thiện tổ chức chính quyền địa phương qua các thời kỳ đã tạo nền tảng cho sự phát triển của Huế. Bước vào giai đoạn mới với vị thế thành phố trực thuộc Trung ương, việc tiếp tục đổi mới mô hình tổ chức và nâng cao hiệu lực quản lý sẽ là động lực quan trọng để Huế phát huy giá trị di sản, xây dựng nền hành chính hiện đại và phát triển bền vững.",-,5. Phần 3/2. Hiện đại hóa nền hành chính phụng sự nhân dân,Thiếu file
115,B17,"Thành phố Huế.
Nguồn: Cổng Thông tin điện tử thành phố Huế",B17.png,5. Phần 3/2. Hiện đại hóa nền hành chính phụng sự nhân dân,Thành công
116,C27,"Cầu Tràng Tiền và trung tâm thành phố Huế - biểu tượng cảnh quan và đời sống đô thị. 
Ảnh: Lê Hoàng.",C27.jpg,5. Phần 3/2. Hiện đại hóa nền hành chính phụng sự nhân dân,Thành công
117,,"Định hướng đến năm 2045: “Xây dựng chính quyền số, kinh tế số, xã hội số hiện đại, minh bạch, hiệu quả, đưa hoạt động quản lý, chỉ đạo, điều hành của tổ chức, cơ quan Đảng, nhà nước lên môi trường số, dựa trên dữ liệu; cung cấp dịch vụ công trực tuyến toàn trình, tiện ích số thuận lợi cho người dân, doanh nghiệp, tạo đột phá trong cải cách hành chính, quản trị công và phát triển bền vững - theo Kế hoạch số 295-KH/TU ngày 30/6/2025 của Thành ủy Huế ban hành Kế hoạch hành động thực hiện Nghị quyết 57-NQ/TW”.
Trích: Quyết định số 465 /QĐ-UBND ngày 28/01/2026 của UBND thành phố Huế v/v phê duyệt Đề án Phát triển đô thị thông minh thành phố Huế giai đoạn 2026-2030, định hướng đến năm 2045.",-,5. Phần 3/2. Hiện đại hóa nền hành chính phụng sự nhân dân,Thiếu file
